2025-09-30 09:54:14 | numexpr.utils | INFO     | utils.py:_init_num_threads:164 | NumExpr defaulting to 8 threads.
2025-09-30 09:54:15 | faiss.loader | DEBUG    | loader.py:<module>:95 | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2025-09-30 09:54:15 | faiss.loader | INFO     | loader.py:<module>:119 | Loading faiss with AVX512 support.
2025-09-30 09:54:15 | faiss.loader | INFO     | loader.py:<module>:121 | Successfully loaded faiss with AVX512 support.
2025-09-30 09:54:16 | sentence_transformers.SentenceTransformer | INFO     | SentenceTransformer.py:__init__:219 | Use pytorch device_name: cpu
2025-09-30 09:54:16 | sentence_transformers.SentenceTransformer | INFO     | SentenceTransformer.py:__init__:227 | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-09-30 09:54:16 | urllib3.connectionpool | DEBUG    | connectionpool.py:_new_conn:1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config_sentence_transformers.json HTTP/1.1" 200 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
2025-09-30 09:54:17 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/README.md HTTP/1.1" 200 0
2025-09-30 09:54:18 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2025-09-30 09:54:18 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/modules.json HTTP/1.1" 200 0
2025-09-30 09:54:18 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
2025-09-30 09:54:18 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/sentence_bert_config.json HTTP/1.1" 200 0
2025-09-30 09:54:18 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-09-30 09:54:19 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 307 0
2025-09-30 09:54:19 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json HTTP/1.1" 200 0
2025-09-30 09:54:19 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-09-30 09:54:19 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json HTTP/1.1" 200 0
2025-09-30 09:54:19 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2025-09-30 09:54:20 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/1_Pooling/config.json HTTP/1.1" 307 0
2025-09-30 09:54:20 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json HTTP/1.1" 200 0
2025-09-30 09:54:20 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6857
2025-09-30 09:54:20 | sulphite.database | INFO     | database.py:__init__:13 | Database connection established: sulphite.db
2025-09-30 09:54:20 | sulphite.classification | INFO     | classification.py:__init__:89 | Classifier initialized successfully with Gemini 1.5 Flash model
2025-09-30 09:54:21 | sulphite.chat_manager | INFO     | chat_manager.py:initialize_session_memory:49 | Initialized semantic memory for session 1 with 46 entries.
2025-09-30 09:54:21 | sulphite.main | INFO     | main.py:__init__:19 | Sulphite application initialized successfully on session 1
2025-09-30 09:55:06 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:132 | Stage: CLASSIFICATION_START | Query: 'Ok, Aj hum Geometry seekhte hain' | Details: {'model': 'gemini-1.5-flash'}
2025-09-30 09:55:07 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:151 | Stage: AI_RESPONSE_RECEIVED | Query: 'Ok, Aj hum Geometry seekhte hain' | Details: {'response_length': 71}
2025-09-30 09:55:07 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:237 | Stage: JSON_PARSING_SUCCESS | Query: 'Ok, Aj hum Geometry seekhte hain' | Details: {'classification': 'irrelevant'}
2025-09-30 09:55:07 | sulphite.classification | INFO     | logging_config.py:log_classification_result:177 | CLASSIFICATION: classification.py:162 | Query: 'Ok, Aj hum Geometry seekhte hain' | Result: {'classification': 'irrelevant', 'main_topic': None, 'sub_topic': None}
2025-09-30 09:55:26 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:132 | Stage: CLASSIFICATION_START | Query: 'integers kiyun, geometry kiyun nahi?' | Details: {'model': 'gemini-1.5-flash'}
2025-09-30 09:55:27 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:151 | Stage: AI_RESPONSE_RECEIVED | Query: 'integers kiyun, geometry kiyun nahi?' | Details: {'response_length': 98}
2025-09-30 09:55:27 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:237 | Stage: JSON_PARSING_SUCCESS | Query: 'integers kiyun, geometry kiyun nahi?' | Details: {'classification': 'theoretical'}
2025-09-30 09:55:27 | sulphite.classification | INFO     | logging_config.py:log_classification_result:177 | CLASSIFICATION: classification.py:162 | Query: 'integers kiyun, geometry kiyun nahi?' | Result: {'classification': 'theoretical', 'main_topic': 'Numbers and Operations', 'sub_topic': 'Integers'}
2025-09-30 09:55:54 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:132 | Stage: CLASSIFICATION_START | Query: 'lekin mujhe integers aate hain, geometry parhni hai' | Details: {'model': 'gemini-1.5-flash'}
2025-09-30 09:55:54 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:151 | Stage: AI_RESPONSE_RECEIVED | Query: 'lekin mujhe integers aate hain, geometry parhni hai' | Details: {'response_length': 71}
2025-09-30 09:55:54 | sulphite.classification | INFO     | logging_config.py:log_query_processing:160 | QUERY_PROCESSING: classification.py:237 | Stage: JSON_PARSING_SUCCESS | Query: 'lekin mujhe integers aate hain, geometry parhni hai' | Details: {'classification': 'irrelevant'}
